text,Sentiment,Project_Status
"['Govt allocate Sh310bn to complete infrastructural project: NAIROBI, Republic of kenya June 10 - The administration has limit aside … https: / / t. co / 2bybgVKlqN']",1,0
['_ Kenyatta _ s deputy was busy going around _ country _ _ in _ effort that was largely _ _ … _: / / t. co / _'],0,0
"[""_ _ President Uhuru Kenyatta ' _ mega projects, the _ Expressway, taking shape day _ day _: / / _. _ / _""]",1,0
['@ _ @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # _ _ Project Got a _ _ HE _ … _: / / _. co / _'],1,0
['None of the projects launch or mention during the Madaraka period be owned by operating theater meant to serve Kisumu county … hypertext transfer protocol: / / t. co / JhYrJKa3Jz'],0,0
['Uhuru Kenyatta ’ s deputy was busy function around the country launch projects in an endeavor that was for the most part seen as … https: / / t. co / s7HjfPpzbv'],0,0
"[""One of President Uhuru Kenyatta ' s mega projects, the Capital of kenya Thruway, admit shape day by mean solar day https: / / metric ton. cobalt / ebz4wLy1cH""]",1,0
['@ _ @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # _ _ Project Got _ nod _ _ _ _ https: / / _. co / LcKCZflqiz'],1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from HE t … http: / / metric ton. conscientious objector / LcKCZflqiz'],1,0
['President of the united states Uhuru Republic of kenya started an ambitious project call the Republic of kenya Affordable Housing Project. Done this projec … http: / / t. carbon monoxide / xnA3SSRSqo'],1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from atomic number 2 t … https: / / liothyronine. carbon monoxide / LcKCZflqiz'],1,0
"[""ODM Leader Raila Odinga ' s project launched _ madaraka day _ a _ _ _ alignment of 2013 _ counties contri _ _: / / _. co / _""]",1,0
"['Govt allocate Sh310bn to complete infrastructural task: capital of kenya, Republic of kenya June 10 - The authorities has set aside … http: / / t. centennial state / 2bybgVKlqN']",1,0
"[""One of President Uhuru Kenyatta ' s mega project, the Nairobi Throughway, taking form day by day https: / / metric ton. colorado / ebz4wLy1cH""]",1,0
"['Govt allocates Sh310bn to complete infrastructural labor: NAIROBI, Republic of kenya June decade - The government have set excursus … https: / / t. centennial state / 2bybgVKlqN']",1,0
"[""One of President Uhuru Kenyatta ' randomness mega labor, the Nairobi State highway, taking build 24 hour interval by day https: / / t. co / ebz4wLy1cH""]",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Labor Got a nod from atomic number 2 t … https: / / liothyronine. conscientious objector / LcKCZflqiz'],1,0
['Uhuru Kenyatta ’ s deputy was engaged go around the area launching projects in an effort that be largely seen as … http: / / tonne. co / s7HjfPpzbv'],0,0
"[""Unrivaled of President of the united states Uhuru Kenyatta ' s mega projects, the Nairobi Expressway, make shape mean solar day by day https: / / t. colorado / ebz4wLy1cH""]",1,0
"['_ _ _ to _ infrastructural projects: NAIROBI, Kenya June 10 - _ government has _ aside _ https: / / t. _ / _']",1,0
"['_ allocates Sh310bn _ complete infrastructural projects: _, Kenya June _ - _ government _ set _ _ https: / / t. _ / 2bybgVKlqN']",1,0
['Uhuru Kenyatta ’ s deputy be in use going around the state launching projects in an effort that was largely seen as … https: / / metric ton. co / s7HjfPpzbv'],0,0
['None of the projects launched oregon remark during the Madaraka period be possess by operating theatre meant to serve Kisumu county … https: / / t. co / JhYrJKa3Jz'],0,0
